"","Gender","Race","Year","pct","CrimeType","Arrested","Frisked","Searched","HandCuff","PepperSpray","Firearm","Other","CEW","Stopped","Verbal","Summons"
"15069","Male","Other",2005,9,"Substance",0,0,0,0,0,0,1,0,1,0,0
"15070","Female","White",2005,9,"Substance",0,0,0,0,0,0,0,0,1,0,0
"15071","Male","White",2005,9,"Substance",0,0,0,0,0,0,0,0,3,0,0
"22509","Male","Black",2005,9,"Theft",1,18,0,0,0,0,4,0,46,0,0
"22510","Unknown","Black",2005,9,"Theft",0,1,0,0,0,0,0,0,1,0,0
"22511","Female","Hispanic",2005,9,"Theft",0,1,0,0,0,0,0,0,3,0,0
"22512","Male","Hispanic",2005,9,"Theft",0,13,0,0,0,0,2,0,42,0,0
"22513","Female","Other",2005,9,"Theft",0,0,0,0,0,0,0,0,1,0,0
"22514","Male","Other",2005,9,"Theft",0,0,0,0,0,0,0,0,4,0,0
"22515","Unknown","Other",2005,9,"Theft",0,2,0,0,0,0,2,0,7,0,0
"22516","Female","White",2005,9,"Theft",0,0,0,0,0,0,0,0,1,0,0
"22517","Male","White",2005,9,"Theft",0,5,1,0,0,1,3,0,19,0,1
"32179","Female","Black",2005,9,"Tresspass",1,1,1,0,0,0,0,0,5,0,0
"32180","Male","Black",2005,9,"Tresspass",3,7,3,2,0,0,0,0,38,0,4
"32181","Female","Hispanic",2005,9,"Tresspass",2,2,1,1,0,0,0,0,10,0,0
"32182","Male","Hispanic",2005,9,"Tresspass",7,16,6,6,0,0,1,0,64,0,1
"32183","Male","Other",2005,9,"Tresspass",0,0,0,0,0,0,0,0,1,0,0
"32184","Female","White",2005,9,"Tresspass",0,0,0,0,0,0,0,0,3,0,0
"32185","Male","White",2005,9,"Tresspass",0,2,0,0,0,0,2,0,7,0,0
"39307","Male","Black",2005,9,"Weapon",1,14,2,2,0,0,3,0,15,0,1
"39308","Male","Hispanic",2005,9,"Weapon",1,14,1,1,1,0,9,0,13,0,2
"39309","Unknown","Other",2005,9,"Weapon",1,1,0,0,0,0,0,0,1,0,0
"39310","Male","White",2005,9,"Weapon",0,7,2,4,1,0,5,0,7,0,0
"517","Female","Black",2005,10,"Assault",0,0,0,0,0,0,0,0,1,0,0
"518","Male","Black",2005,10,"Assault",0,3,1,0,0,0,2,0,6,0,0
"519","Unknown","Black",2005,10,"Assault",0,0,0,0,0,0,0,0,1,0,0
"520","Male","Hispanic",2005,10,"Assault",2,4,2,2,0,0,1,0,5,0,0
"521","Male","White",2005,10,"Assault",0,5,2,0,0,0,2,0,5,0,0
"7833","Male","Black",2005,10,"Other",1,3,0,0,0,0,0,0,5,0,0
"7834","Male","Hispanic",2005,10,"Other",0,1,0,0,0,0,0,0,3,0,1
"7835","Female","Other",2005,10,"Other",0,0,0,0,0,0,0,0,1,0,1
"7836","Female","White",2005,10,"Other",1,0,1,0,0,0,0,0,1,0,0
"7837","Male","White",2005,10,"Other",0,1,1,0,0,0,0,0,2,0,0
"15186","Female","Black",2005,10,"Substance",0,0,0,0,0,0,0,0,1,0,0
"15187","Male","Black",2005,10,"Substance",2,6,3,2,0,0,3,0,17,0,1
"15188","Female","Hispanic",2005,10,"Substance",0,0,0,0,0,0,0,0,1,0,0
"15189","Male","Hispanic",2005,10,"Substance",1,10,1,1,0,0,3,0,12,0,0
"15190","Male","White",2005,10,"Substance",1,0,0,0,0,0,0,0,4,0,0
"22643","Female","Black",2005,10,"Theft",0,0,0,0,0,0,0,0,2,0,0
"22644","Male","Black",2005,10,"Theft",0,19,1,0,0,0,9,0,45,0,0
"22645","Female","Hispanic",2005,10,"Theft",0,0,0,0,0,0,0,0,2,0,0
"22646","Male","Hispanic",2005,10,"Theft",0,12,0,1,0,0,10,0,28,0,0
"22647","Male","Other",2005,10,"Theft",0,1,0,0,0,0,1,0,7,0,0
"22648","Female","White",2005,10,"Theft",0,0,0,0,0,0,0,0,1,0,0
"22649","Male","White",2005,10,"Theft",0,4,0,0,0,0,4,0,11,0,0
"32307","Female","Black",2005,10,"Tresspass",0,0,0,0,0,0,0,0,2,0,0
"32308","Male","Black",2005,10,"Tresspass",6,9,7,4,0,0,2,0,33,0,3
"32309","Female","Hispanic",2005,10,"Tresspass",2,2,2,1,0,0,2,0,4,0,0
"32310","Male","Hispanic",2005,10,"Tresspass",0,2,0,0,0,0,3,0,15,0,0
"32311","Male","Other",2005,10,"Tresspass",0,0,0,0,0,0,0,0,1,0,0
"32312","Female","White",2005,10,"Tresspass",0,0,0,0,0,0,0,0,4,0,0
"32313","Male","White",2005,10,"Tresspass",2,1,1,1,0,0,1,0,9,0,1
"39416","Male","Black",2005,10,"Weapon",1,15,2,0,0,0,4,0,16,0,0
"39417","Male","Hispanic",2005,10,"Weapon",0,11,0,0,0,0,4,0,13,0,1
"39418","Female","Other",2005,10,"Weapon",0,1,0,0,0,0,0,0,1,0,0
"39419","Unknown","Other",2005,10,"Weapon",0,0,0,0,0,0,0,0,1,0,0
"39420","Female","White",2005,10,"Weapon",0,0,0,0,0,0,0,0,1,0,1
"39421","Male","White",2005,10,"Weapon",0,3,0,0,0,0,1,0,5,0,1
"618","Male","Black",2005,13,"Assault",0,1,0,1,0,0,0,0,3,0,0
"7930","Male","Black",2005,13,"Other",0,2,1,0,0,0,1,0,2,0,0
"7931","Male","Hispanic",2005,13,"Other",0,0,0,0,0,0,0,0,1,0,0
"7932","Male","Other",2005,13,"Other",0,2,0,0,0,0,1,0,2,0,0
"7933","Male","White",2005,13,"Other",0,0,0,0,0,0,0,0,2,0,0
"15287","Male","Black",2005,13,"Substance",0,0,0,0,0,0,0,0,2,0,0
"22763","Male","Black",2005,13,"Theft",0,26,0,0,0,0,13,0,43,0,0
"22764","Male","Hispanic",2005,13,"Theft",0,13,1,0,0,0,3,0,22,0,0
"22765","Female","Other",2005,13,"Theft",0,1,0,0,0,0,1,0,1,0,1
"22766","Male","Other",2005,13,"Theft",0,1,1,0,0,0,1,0,8,0,0
"22767","Unknown","Other",2005,13,"Theft",0,1,0,0,0,0,0,0,1,0,0
"22768","Female","White",2005,13,"Theft",0,0,0,0,0,0,0,0,2,0,0
"22769","Male","White",2005,13,"Theft",0,2,0,0,0,0,1,0,4,0,0
"32417","Male","Black",2005,13,"Tresspass",2,3,2,2,0,0,0,0,9,0,0
"32418","Female","Hispanic",2005,13,"Tresspass",0,0,0,0,0,0,0,0,2,0,0
"32419","Male","Hispanic",2005,13,"Tresspass",0,0,0,0,0,0,0,0,9,0,0
"32420","Male","Other",2005,13,"Tresspass",1,1,1,1,0,0,1,0,1,0,0
"32421","Female","White",2005,13,"Tresspass",0,0,0,0,0,0,0,0,2,0,0
"32422","Male","White",2005,13,"Tresspass",0,0,0,0,0,0,1,0,1,0,0
"39508","Male","Black",2005,13,"Weapon",0,1,0,0,0,0,0,0,1,0,0
"39509","Male","Hispanic",2005,13,"Weapon",0,1,0,0,0,0,0,0,1,0,0
"722","Male","Black",2005,14,"Assault",1,2,1,1,0,0,2,0,3,0,0
"723","Male","Hispanic",2005,14,"Assault",0,2,1,1,0,0,2,0,3,0,0
"8039","Female","Black",2005,14,"Other",0,0,0,0,0,0,0,0,1,0,1
"8040","Male","Black",2005,14,"Other",0,2,0,1,0,0,1,0,25,0,0
"8041","Unknown","Black",2005,14,"Other",0,0,0,0,0,0,0,0,2,0,0
"8042","Male","Hispanic",2005,14,"Other",0,2,0,0,0,0,2,0,4,0,0
"8043","Male","Other",2005,14,"Other",0,0,0,0,0,0,1,0,1,0,1
"8044","Male","White",2005,14,"Other",0,0,0,0,0,0,0,0,3,0,0
"15380","Male","Black",2005,14,"Substance",0,0,0,0,0,0,0,0,7,0,0
"15381","Male","Hispanic",2005,14,"Substance",0,1,0,1,0,0,1,0,1,0,0
"15382","Unknown","Other",2005,14,"Substance",0,1,0,0,0,0,1,0,2,0,0
"15383","Male","White",2005,14,"Substance",0,1,0,0,0,0,0,0,5,0,0
"22895","Female","Black",2005,14,"Theft",1,0,0,0,0,0,1,0,3,0,0
"22896","Male","Black",2005,14,"Theft",1,14,2,1,0,0,8,0,29,0,0
"22897","Female","Hispanic",2005,14,"Theft",0,0,0,0,0,0,0,0,2,0,0
"22898","Male","Hispanic",2005,14,"Theft",0,6,0,0,0,0,2,0,9,0,0
"22899","Male","Other",2005,14,"Theft",0,0,0,0,0,0,0,0,1,0,0
"22900","Female","White",2005,14,"Theft",0,0,0,0,0,0,0,0,1,0,0
"22901","Male","White",2005,14,"Theft",0,0,0,0,0,0,0,0,2,0,0
"32511","Male","Black",2005,14,"Tresspass",0,0,0,0,0,0,0,0,3,0,0
"39619","Female","Black",2005,14,"Weapon",0,0,0,0,0,0,0,0,2,0,0
"39620","Male","Black",2005,14,"Weapon",0,7,1,0,0,1,4,0,7,0,0
"39621","Male","Hispanic",2005,14,"Weapon",0,5,1,0,0,0,3,0,6,0,0
"39622","Male","Other",2005,14,"Weapon",0,0,0,0,0,0,0,0,1,0,0
"837","Male","Hispanic",2005,17,"Assault",0,0,0,0,0,0,0,0,1,0,0
"838","Male","White",2005,17,"Assault",0,1,0,0,0,0,0,0,1,0,0
"8166","Male","Black",2005,17,"Other",0,0,0,0,0,0,0,0,2,0,0
"8167","Male","Hispanic",2005,17,"Other",0,0,0,0,0,0,0,0,1,0,0
"8168","Unknown","Other",2005,17,"Other",0,0,0,0,0,0,0,0,1,0,0
"8169","Female","White",2005,17,"Other",0,0,0,0,0,0,0,0,1,0,1
"8170","Male","White",2005,17,"Other",0,0,0,0,0,0,0,0,3,0,0
"15485","Male","Black",2005,17,"Substance",1,0,0,0,0,0,0,0,1,0,0
"15486","Male","Hispanic",2005,17,"Substance",0,0,0,0,0,0,0,0,1,0,0
"15487","Male","White",2005,17,"Substance",0,0,0,0,0,0,0,0,1,0,0
"23036","Female","Black",2005,17,"Theft",0,0,0,0,0,0,0,0,1,0,0
"23037","Male","Black",2005,17,"Theft",0,1,0,1,0,1,2,0,16,0,0
"23038","Male","Hispanic",2005,17,"Theft",0,1,0,0,0,0,1,0,5,0,0
"23039","Female","Other",2005,17,"Theft",0,0,0,0,0,0,0,0,1,0,0
"23040","Male","Other",2005,17,"Theft",0,0,0,0,0,0,0,0,6,0,1
"23041","Female","White",2005,17,"Theft",0,0,0,0,0,0,0,0,2,0,0
"23042","Male","White",2005,17,"Theft",0,3,0,2,0,0,3,0,20,0,1
"32602","Male","Hispanic",2005,17,"Tresspass",0,0,0,0,0,0,0,0,1,0,0
"39737","Male","Black",2005,17,"Weapon",0,1,1,0,0,0,0,0,1,0,0
"39738","Male","Hispanic",2005,17,"Weapon",1,1,1,0,0,0,0,0,2,0,0
"39739","Unknown","Other",2005,17,"Weapon",0,0,0,0,0,0,0,0,2,0,0
"39740","Female","White",2005,17,"Weapon",0,0,0,0,0,0,0,0,1,0,0
"39741","Male","White",2005,17,"Weapon",0,0,0,0,0,0,0,0,1,0,0
"934","Male","Black",2005,18,"Assault",0,1,0,1,0,0,0,0,2,0,0
"935","Male","Other",2005,18,"Assault",0,1,0,1,0,0,0,0,1,0,0
"8258","Male","Black",2005,18,"Other",0,0,0,0,0,0,0,0,5,0,0
